Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,Coordinates,UNSD Geographical Grouping
Incident,2018,September,Unknown,South-eastern Asia,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,"Pattani province, Thailand",Mixed Migration Monitoring Mechanism Initiative (4mi),"6.667462, 101.219904",South-eastern Asia
Incident,2018,September,Western / Southern Asia (P),Mediterranean,Unknown,1,0,1,16,0,0,0,Drowning,Eastern Mediterranean,"Off the coast of Bodrum, Türkiye en route to Kos, Greece","Turkish Coast Guard, IOM Türkiye, Hurriyet Daily News, Daily Sabah, Kurwait News Agency","36.94148084, 27.28634951",Uncategorized
Incident,2018,September,Sub-Saharan Africa (P),Europe,Unknown,1,0,1,2,0,1,0,Drowning,English Channel to the UK,"Port of Calais, Pas-de-Calais, France","Ouest France, Nord Littoral. Express, Institute of Race Relations","50.97099851, 1.850203958",Western Europe
Incident,2018,September,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Western Mediterranean,"Body retrieved at Cabo Negro beach, near Tetouan, Morocco","Al-Sharq Times, Ali Zoubeidi","35.6649375, -5.2843125",Uncategorized
Incident,2018,September,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,"Near Holhol, Djibouti",Mixed Migration Monitoring Mechanism Initiative (4mi),"11.312407, 42.923337",Eastern Africa
Incident,2018,September,Eastern Africa (P),Eastern Africa,Unknown,2,0,2,0,0,0,0,Mixed or unknown,,"Near Lilongwe, Malawi",Mixed Migration Monitoring Mechanism Initiative (4mi),"-13.86155, 33.782244",Eastern Africa
Incident,2018,September,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Sahara desert, Ash Shamaliyah, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"20.610678, 27.916851",Northern Africa
Incident,2018,September,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,"Near Dewele, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4mi),"11.018296, 42.62509",Eastern Africa
Incident,2018,September,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,1,0,Mixed or unknown,Sahara Desert crossing,"Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"31.723048, 14.025968",Northern Africa
Incident,2018,September,Eastern Africa (P),Eastern Africa,Unknown,3,0,3,0,0,2,0,Vehicle accident / death linked to hazardous transport,,"Near Nampula, Mozambique",Mixed Migration Monitoring Mechanism Initiative (4mi),"-15.137787, 39.230025",Eastern Africa
Incident,2018,September,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Unspecified location in the Sahara Desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"24.083486, 15.604089",Northern Africa
Incident,2018,September,Unknown,Northern Africa,Unknown,1,0,1,0,1,0,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the Sahara Desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"24.083486, 15.604089",Northern Africa
Incident,2018,September,Unknown,Western Africa,Unknown,7,0,7,0,1,0,0,Mixed or unknown,Sahara Desert crossing,Northern Niger,Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.738446, 12.654942",Western Africa
Incident,2018,September,Unknown,Western Africa,Unknown,3,0,3,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Dao, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"20.688584, 13.708007",Western Africa
Incident,2018,September,Unknown,Western Africa,Unknown,4,0,4,0,4,1,0,Mixed or unknown,Sahara Desert crossing,"Zinder, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"13.834066, 8.985465",Western Africa
Incident,2018,September,Central America,North America,Guatemala,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.841567, -111.846017",Northern America
Incident,2018,September,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.19413, -112.87121",Northern America
Incident,2018,September,Northern Africa,Mediterranean,Morocco,1,0,1,0,24,0,0,Violence,Western Mediterranean,"Off the coast of M'diq-Fnideq, Morocco","Reuters, AFP, El País, Association Marocaine des Droits Humains - Section Nador, Caminando Fronteras","35.84452886, -5.324127404",Uncategorized
Incident,2018,September,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Western Mediterranean,"Body recovered in Alboran Island, in Alboran Sea, between Morocco and Spain",EFE,"35.9389086, -3.0357141",Uncategorized
Incident,2018,September,Central America,North America,El Salvador,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near 1708 Military Road, Peñitas, Hidalgo County, Texas, USA","US Border Patrol, Hidalgo County Sheriff's Office","26.22443895, -98.44510598",Northern America
Incident,2018,September,Central America,North America,El Salvador,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"On the side of 876 Dillon Road, Donna, Hidalgo County, Texas, USA","Hidalgo County Sheriff's Office, Valley Central, Telemundo 40","26.278674, -98.0555171",Northern America
Incident,2018,September,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,"Near Pemba, Mozambique",Mixed Migration Monitoring Mechanism Initiative (4mi),"-13.009242, 40.527028",Eastern Africa
Incident,2018,September,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Sahara desert, Ash Shamaliyah, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"20.610678, 27.916851",Northern Africa
Incident,2018,September,Central America,North America,Guatemala,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Military Road, La Joya, Hidalgo County, Texas, USA",Hidalgo County Sheriff's Office,"26.22235335, -98.47598489",Northern America
Incident,2018,September,Southern Asia,North America,India,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Ranch near Laredo, Webb County, Texas, USA",US Border Patrol via Breitbart,"27.60339887, -99.35648989",Northern America
Incident,2018,September,Eastern Africa (P),Eastern Africa,Unknown,3,0,3,0,0,0,0,Violence,,"Moyale, Ethiopia, on border with Kenya",Mixed Migration Monitoring Mechanism Initiative (4mi),"3.536064, 39.065407",Eastern Africa
Incident,2018,September,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Mixed or unknown,,"Near Dzaleka, Malawi",Mixed Migration Monitoring Mechanism Initiative (4mi),"-13.66283, 33.870444",Eastern Africa
Incident,2018,September,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,"Near Lilongwe, Malawi",Mixed Migration Monitoring Mechanism Initiative (4mi),"-13.86155, 33.782244",Eastern Africa
Incident,2018,September,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Unspecified location in the Sahara desert, Egypt",Mixed Migration Monitoring Mechanism Initiative (4mi),"22.396611, 26.693147",Northern Africa
Incident,2018,September,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Sahara desert near Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"18.07428, 34.434549",Northern Africa
Incident,2018,September,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"200 Flores St, Los Ebanos, Hidalgo County, Texas, USA",Hidalgo County Sheriff's Office,"26.23975657, -98.5649342",Northern America
Incident,2018,September,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Near Karonga, Malawi",Mixed Migration Monitoring Mechanism Initiative (4mi),"-9.96284, 33.931714",Eastern Africa
Incident,2018,September,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Sahara desert near Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"18.07428, 34.434549",Northern Africa
Incident,2018,September,Eastern Africa (P),Eastern Africa,Unknown,2,0,2,0,0,2,0,Violence,,"Zalambessa, Ethiopia-Eritrea border",Mixed Migration Monitoring Mechanism Initiative (4mi),"14.513764, 39.383861",Eastern Africa
Incident,2018,September,Western Asia,Western Asia,Syrian Arab Republic,1,0,1,0,0,1,0,Violence,Syria to Türkiye,"Syria-Türkiye border, near Al-Deriyyeh, Darkush, Idlib Governorate, Syria",Syrian Observatory for Human Rights,"36.01381364, 36.37569228",Western Asia
Incident,2018,September,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Western Mediterranean,"Herradura Bay, Almuñécar, Granada, Spain","Granada Hoy, EFE","36.72818455, -3.746214307",Uncategorized
Incident,2018,September,Western Africa,Northern Africa,Nigeria,1,0,1,0,0,1,0,Violence,Sahara Desert crossing,"Al-Saqda, Bani Walid, Libya",Alwasat,"31.80516946, 14.02483689",Northern Africa
Incident,2018,September,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,1,0,Mixed or unknown,,"Metema, Ethiopia-Sudan border",Mixed Migration Monitoring Mechanism Initiative (4mi),"12.953846, 36.152215",Eastern Africa
Incident,2018,September,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Tenkodogo, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),"11.783333, -0.366667",Western Africa
Incident,2018,September,Central America,North America,Mexico,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.882568, -112.815713",Northern America
Incident,2018,September,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Dakola, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),"11.01420945, -1.117682559",Western Africa
Incident,2018,September,Western Asia,Mediterranean,Syrian Arab Republic,5,2,7,0,3,2,0,Drowning,Eastern Mediterranean,"Off the coast of Enez, Edirne province, Türkiye",Turkish Coast Guard,"40.71539639, 26.02552249",Uncategorized
Incident,2018,September,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,1,1,0,Mixed or unknown,US-Mexico border crossing,"Body found on banks of Río Bravo, near Mission, Hidalgo County, Texas, USA",El Mañana de Reynosa,"26.1576875, -98.3784375",Northern America
Incident,2018,September,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near El Indio, Maverick County, Texas, USA","La Prensa de Monclova, Zócalo","28.497581, -100.333312",Northern America
Incident,2018,September,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,,"Ougadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),"12.357222, -1.535278",Western Africa
Incident,2018,October,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,Violence,Sahara Desert crossing,"Unspecified location in the Sahara Desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"20.531096, 24.088779",Northern Africa
Incident,2018,October,Unknown,Mediterranean,Unknown,,1,1,0,0,1,0,Drowning,Central Mediterranean,"Body spotted floating northeast of Zuwarah, Libya",Pilotes Volontaires,"33.5333125, 12.6333125",Uncategorized
Incident,2018,October,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo near Guerrero, Mexico, in south of Maverick County, Texas, USA","K911 Noticias, Revista Fundamentos","28.33246077, -100.3032934",Northern America
Incident,2018,October,Unknown,Mediterranean,Unknown,15,19,34,0,26,0,0,Drowning,Western Mediterranean,"Off the coast of Beni Ensar, near Nador, Morocco",Caminando Fronteras,"35.423044, -2.739259",Uncategorized
Incident,2018,October,Eastern Africa (P),Eastern Africa,Unknown,2,0,2,0,0,2,0,Violence,,"Near Jijiga, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4mi),"9.322813, 42.787821",Eastern Africa
Incident,2018,October,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Tog Waajale, Ethiopia-Somalia border",Mixed Migration Monitoring Mechanism Initiative (4mi),"9.599192, 43.343533",Eastern Africa
Incident,2018,October,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Near Ajdabiya, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"29.625085, 20.386066",Northern Africa
Incident,2018,October,Sub-Saharan Africa (P),Northern Africa,Unknown,1,0,1,0,36,1,0,Accidental death,,"Dar El Kebdani, near Nador, Morocco","Nador City, Association Marocaine des Droits Humains - Section Nador","35.1294076, -3.3237902",Northern Africa
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Mixed or unknown,Sahara Desert crossing,"Mopti, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),"14.495833, -4.198611",Western Africa
Incident,2018,October,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.12783, -112.34303",Northern America
Incident,2018,October,Sub-Saharan Africa (P),Middle Africa,Unknown,2,0,2,0,0,2,0,Mixed or unknown,,"Mamfe, Cameroon",Mixed Migration Monitoring Mechanism Initiative (4mi),"5.79077, 9.3026",Middle Africa
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Violence,Sahara Desert crossing,"Near Gossi, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),"15.670295, -1.329927",Western Africa
Incident,2018,October,Unknown,Western Africa,Unknown,2,0,2,0,63,0,0,Drowning,,Unspecified location off the coast of Guinea-Bissau,"AFP, Reuters","11.53815274, -17.14215922",Western Africa
Incident,2018,October,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Train tracks near Tezuapan (San Isidro), in Cañada Morelos, Puebla, Mexico","El Sol de Puebla, E-Consulta","18.7640625, -97.4066875",Central America
Incident,2018,October,Southern Asia,Europe,Pakistan,1,0,1,5,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Western Balkans,"Forest near Siva Reka, Bulgaria, near border with Greece","Bulgarian Interior Ministry, IOM Bulgaria","41.74359982, 26.06331147",Eastern Europe
Incident,2018,October,Eastern Africa (P),Eastern Africa,Unknown,2,0,2,0,0,2,0,Violence,,"Near Gambella, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4mi),"8.271988, 34.587575",Eastern Africa
Incident,2018,October,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,0,0,Violence,Sahara Desert crossing,"Sahara desert, Sudan, near the border with Egypt",Mixed Migration Monitoring Mechanism Initiative (4mi),"21.943709, 27.672666",Northern Africa
Incident,2018,October,Central America,North America,Guatemala,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.91468, -112.92918",Northern America
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,0,0,0,Vehicle accident / death linked to hazardous transport,,"Diebougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),"10.58, -3.15",Western Africa
Incident,2018,October,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Near Hargeisa, Somalia",Mixed Migration Monitoring Mechanism Initiative (4mi),"9.511606, 44.059039",Eastern Africa
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,0,0,Sickness / lack of access to adequate healthcare,,"Bobo Dioulasso, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),"11.183333, -4.283333",Western Africa
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,Unspecified location in Cote d'Ivoire,Mixed Migration Monitoring Mechanism Initiative (4mi),"7.988257, -5.497591",Western Africa
Incident,2018,October,Sub-Saharan Africa (P),Middle Africa,Unknown,2,0,2,0,0,2,0,Mixed or unknown,,"Mafia, Cameroon",Mixed Migration Monitoring Mechanism Initiative (4mi),"5.2, 11.21",Middle Africa
Incident,2018,October,Sub-Saharan Africa (P),Middle Africa,Unknown,2,0,2,0,0,2,0,Mixed or unknown,,"Mafia, Cameroon",Mixed Migration Monitoring Mechanism Initiative (4mi),"5.2, 11.21",Middle Africa
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,0,0,0,Mixed or unknown,,"Kumasi, Ghana",Mixed Migration Monitoring Mechanism Initiative (4mi),"6.666667, -1.616667",Western Africa
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Gagnoa, Cote d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4mi),"6.133333, -5.933333",Western Africa
Incident,2018,October,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Open desert, Ocotillo, Imperial County, California, USA",Imperial County Coroner's Office,"32.65666899, -116.0125638",Northern America
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,0,2,0,Sickness / lack of access to adequate healthcare,,"Dapaong, Togo",Mixed Migration Monitoring Mechanism Initiative (4mi),"10.867778, 0.203611",Western Africa
Incident,2018,October,Unknown,Northern Africa,Unknown,2,0,2,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"26.831999, 14.377578",Northern Africa
Incident,2018,October,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Tamanrasset, Algeria",Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.044025, 5.707382",Northern Africa
Incident,2018,October,Unknown,Northern Africa,Unknown,3,0,3,0,1,1,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the Sahara Desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.222362, 14.364959",Northern Africa
Incident,2018,October,Northern Africa,Mediterranean,Tunisia,1,5,6,0,5,1,0,Drowning,Central Mediterranean,"Off the coast of Djerba, near Zarzis, Tunisia","Mosaique FM, Kapitalis","33.91935074, 11.34777121",Uncategorized
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Niangoloko, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),"10.283333, -4.916667",Western Africa
Incident,2018,October,Western / Southern Asia (P),Mediterranean,"Afghanistan,Iraq,Unknown",8,26,34,0,1,2,0,Drowning,Eastern Mediterranean,"Off the coast of off the coast of Karaburun district, Izmir, Türkiye","Turkish Coast Guard via IOM Türkiye, Ekathimerini, Rudaw","38.7984375, 26.51754452",Uncategorized
Incident,2018,October,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,0,1,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the Sahara desert, Egypt",Mixed Migration Monitoring Mechanism Initiative (4mi),"22.396611, 26.693147",Northern Africa
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Sikasso, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),"11.316667, -5.666667",Western Africa
Incident,2018,October,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Near Brownsville, Cameron County, Texas, USA",US Border Patrol,"26.01009812, -97.39860685",Northern America
Incident,2018,October,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,,"Near Maputo, Mozambique",Mixed Migration Monitoring Mechanism Initiative (4mi),"-25.727874, 32.550056",Eastern Africa
Incident,2018,October,Central America,North America,Mexico,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near 1001 East Military Road, Peñitas, Hidalgo County, Texas, USA",Hidalgo County Sheriff's Office,"26.22230745, -98.45591776",Northern America
Incident,2018,October,Unknown,Northern Africa,Unknown,2,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the Sahara Desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"20.36059, 24.676808",Northern Africa
Incident,2018,October,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,Violence,Sahara Desert crossing,"Tazirbu, Kufra, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.619268, 21.142195",Northern Africa
Incident,2018,October,Western / Southern Asia (P),Europe,Unknown,3,0,3,0,0,0,0,Violence,Türkiye-Europe land route,"Bodies recovered near Evros/Meriç river, east of Didymoteicho, Greece","AP, Ekathimerini, BBC","41.33991661, 26.51932647",Southern Europe
Incident,2018,October,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Drowning,US-Mexico border crossing,"Río Bravo, near municipality of Rio Bravo, Webb County, Texas, USA",US Border Patrol via Breitbart,"27.36357889, -99.50347328",Northern America
Incident,2018,October,Sub-Saharan Africa (P),Mediterranean,Unknown,2,0,2,0,0,2,0,Drowning,Western Mediterranean,"70km off the coast of Cap Falcon, Ain El Türck, province of Oran, Algeria","El Watan, Réflexion, Le Quotidien d'Oran","35.81732734, -0.801022391",Uncategorized
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,0,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Niamey, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),"13.511667, 2.125278",Western Africa
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,0,0,Violence,Sahara Desert crossing,"Mopti, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),"14.495833, -4.198611",Western Africa
Incident,2018,October,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),"16.967643, 7.985137",Western Africa
Incident,2018,October,Central America,North America,Guatemala,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"McAllen Medical Center, Hidalgo County, Texas, USA",Hidalgo County Sheriff's Office,"26.1871099, -98.2259109",Northern America
Incident,2018,October,Unknown,South-eastern Asia,Unknown,6,0,6,0,0,6,0,Mixed or unknown,,"Padang Besar, Perlis, Malaysia",Mixed Migration Monitoring Mechanism Initiative (4mi),"6.666557, 100.304106",South-eastern Asia
Incident,2018,October,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Western Mediterranean,"Off the coast of Cap Falcon, Ain El Türck, province of Oran, Algeria","El Watan, Réflexion, Le Quotidien d'Oran","35.81287288, -0.806515555",Uncategorized
Incident,2018,October,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Western Mediterranean,"16 nautical miles off the coast of Marsat El Hadjadj, province of Oran, Algeria","El Watan, Réflexion, Le Quotidien d'Oran","35.81810516, -0.1682271",Uncategorized
Incident,2018,October,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Drowning,US-Mexico border crossing,"Río Bravo, near Zapata, Zapata County, Texas, USA",US Border Patrol via Breitbart,"26.86714711, -99.31296755",Northern America
Incident,2018,October,South America,South America,Venezuela (Bolivarian Republic of),5,1,6,0,0,1,0,Drowning,,"Táchira river, municipality of Bolívar, Venezuela, near border with Colombia","Asamblea Nacional de Venezuela, El Estímulo, Diario La Nación","7.752677115, -72.47291562",South America
Incident,2018,October,Unknown,Mediterranean,Unknown,,2,2,0,9,0,0,Drowning,Western Mediterranean,"Off the coast of Tangiers, Morocco",Watch the Med - Alarmphone,"35.87082649, -5.84768721",Uncategorized
Incident,2018,October,Sub-Saharan Africa (P),Middle Africa,Unknown,6,0,6,0,0,1,0,Vehicle accident / death linked to hazardous transport,,In Cameroon near southwestern border with Nigeria,Mixed Migration Monitoring Mechanism Initiative (4mi),"4.916402, 8.740138",Middle Africa
Incident,2018,October,Sub-Saharan Africa (P),Mediterranean,Unknown,2,0,2,0,0,0,0,Drowning,Western Mediterranean,"20km off the coast of Cap Falcon, Ain El Türck, province of Oran, Algeria","Algérie360, Le Quotidien d'Oran","35.8245653, -0.803768973",Uncategorized
Incident,2018,October,Unknown,Mediterranean,Unknown,3,17,20,0,35,0,0,Drowning,Western Mediterranean,"Unspecified location in the Alboran Sea, between Morocco and Spain",Salvamento Marítimo,"36.12548285, -3.06317992",Uncategorized
Incident,2018,October,Northern Africa,Mediterranean,Algeria,2,2,4,0,13,1,0,Drowning,Western Mediterranean,"8 nautical miles off the coast of Stidia, province of Mostaganem, Algeria","Liberté Algérie, El Watan, Réflexion","35.96866341, -0.02072771",Uncategorized
Incident,2018,October,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Near Nampula, Mozambique",Mixed Migration Monitoring Mechanism Initiative (4mi),"-15.137787, 39.230025",Eastern Africa
Incident,2018,October,Western / Southern Asia (P),Europe,Unknown,11,0,11,0,0,0,0,Vehicle accident / death linked to hazardous transport,Western Balkans,"Kavala - Afrioni beach road, Sarakina, Greece",IOM Greece,"40.94603547, 24.43226374",Southern Europe
Incident,2018,October,Caribbean,Central America,Dominican Republic,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near International Bridge II Juárez-Lincol, Nuevo Laredo, Tamaulipas, Mexico","Líderweb, El Mañana de Nuevo Laredo","27.49996171, -99.50344209",Central America
Incident,2018,October,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Yabello, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4mi),"4.884933, 38.116099",Eastern Africa
Incident,2018,October,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,0,0,Sickness / lack of access to adequate healthcare,,"Galkayo, Somalia",Mixed Migration Monitoring Mechanism Initiative (4mi),"6.770377, 47.41765",Eastern Africa
Incident,2018,October,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Kufra, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.900404, 23.051371",Northern Africa
